"Batter","TotalRuns","TotalBalls","Innings","Dismissals","NotOuts","Average","StrikeRate",".level","ParetoLevel","Pareto"
"Alex Hales",1474,969,47,44,3,33.5,152.115583075335,1,1,"Alex Hales"
"Brad Hodge",1412,1051,45,33,12,42.7878787878788,134.348239771646,1,1,"Brad Hodge"
"Chris Lynn",2790,1847,88,75,13,37.2,151.055766107201,1,1,"Chris Lynn"
"D'Arcy Short",2109,1518,57,52,5,40.5576923076923,138.932806324111,1,1,"D'Arcy Short"
"Nathan McAndrew",91,50,11,3,8,30.3333333333333,182,1,1,"Nathan McAndrew"
"Glenn Maxwell",2205,1479,82,68,14,32.4264705882353,149.087221095335,2,999,"Glenn Maxwell"
"Jos Buttler",605,429,18,18,0,33.6111111111111,141.025641025641,2,999,"Jos Buttler"
"Kevin Pietersen",1110,809,33,30,3,37,137.206427688504,2,999,"Kevin Pietersen"
"Matthew Wade",1831,1272,64,55,9,33.2909090909091,143.946540880503,2,999,"Matthew Wade"
"Andre Russell",296,178,17,14,3,21.1428571428571,166.292134831461,2,999,"Andre Russell"
"Shaun Marsh",2196,1712,61,53,8,41.4339622641509,128.271028037383,2,999,"Shaun Marsh"
"Tom Beaton",194,128,11,6,5,32.3333333333333,151.5625,2,999,"Tom Beaton"
"George Bailey",1673,1238,67,51,16,32.8039215686275,135.13731825525,3,999,"George Bailey"
"Josh Inglis",941,656,37,32,5,29.40625,143.44512195122,3,999,"Josh Inglis"
"Aaron Finch",2431,1806,76,71,5,34.2394366197183,134.606866002215,3,999,"Aaron Finch"
"Marcus Stoinis",2137,1624,71,58,13,36.8448275862069,131.588669950739,3,999,"Marcus Stoinis"
"Josh Philippe",1306,917,48,40,8,32.65,142.420937840785,3,999,"Josh Philippe"
"Mitchell Marsh",1557,1167,61,43,18,36.2093023255814,133.419023136247,3,999,"Mitchell Marsh"
"Rashid Khan",314,202,35,22,13,14.2727272727273,155.445544554455,3,999,"Rashid Khan"
"Tim David",388,262,23,15,8,25.8666666666667,148.091603053435,3,999,"Tim David"
"Travis Birt",679,466,28,26,2,26.1153846153846,145.708154506438,3,999,"Travis Birt"
"Craig Simmons",501,351,20,20,0,25.05,142.735042735043,4,999,"Craig Simmons"
"Ben McDermott",1562,1165,58,46,12,33.9565217391304,134.077253218884,4,999,"Ben McDermott"
"Luke Pomersbach",547,407,18,17,1,32.1764705882353,134.398034398034,4,999,"Luke Pomersbach"
"Chris Gayle",649,477,22,21,1,30.9047619047619,136.058700209644,4,999,"Chris Gayle"
"Herschelle Gibbs",488,350,16,16,0,30.5,139.428571428571,4,999,"Herschelle Gibbs"
"James Vince",1278,941,45,40,5,31.95,135.812964930925,4,999,"James Vince"
"Michael Carberry",353,277,13,10,3,35.3,127.436823104693,4,999,"Michael Carberry"
"Michael Hussey",776,590,27,22,5,35.2727272727273,131.525423728814,4,999,"Michael Hussey"
"Nick Larkin",747,587,30,21,9,35.5714285714286,127.257240204429,4,999,"Nick Larkin"
"Owais Shah",472,372,21,13,8,36.3076923076923,126.881720430108,4,999,"Owais Shah"
"Ben Cutting",1479,1003,81,62,19,23.8548387096774,147.457627118644,4,999,"Ben Cutting"
"Kieron Pollard",378,256,20,17,3,22.2352941176471,147.65625,4,999,"Kieron Pollard"
"Tom Curran",318,217,19,13,6,24.4615384615385,146.543778801843,4,999,"Tom Curran"
"Liam Livingstone",851,616,28,28,0,30.3928571428571,138.149350649351,5,999,"Liam Livingstone"
"Alex Carey",1588,1248,48,45,3,35.2888888888889,127.24358974359,5,999,"Alex Carey"
"Sam Billings",543,390,20,18,2,30.1666666666667,139.230769230769,5,999,"Sam Billings"
"Steven Smith",619,479,24,19,5,32.5789473684211,129.227557411273,5,999,"Steven Smith"
"Nathan Coulter-Nile",367,249,37,23,14,15.9565217391304,147.389558232932,5,999,"Nathan Coulter-Nile"
"Phil Salt",671,458,30,29,1,23.1379310344828,146.506550218341,5,999,"Phil Salt"
"Travis Head",1349,1007,48,43,5,31.3720930232558,133.962264150943,5,999,"Travis Head"
