"Batter","TotalRuns","TotalBalls","Innings","Dismissals","NotOuts","Average","StrikeRate",".level","ParetoLevel","Pareto"
"Alyssa Healy",2415,1742,86,82,4,29.4512195121951,138.633754305396,1,1,"Alyssa Healy"
"Beth Mooney",3127,2569,89,67,22,46.6716417910448,121.720513818606,1,1,"Beth Mooney"
"Chloe Tryon",412,291,24,17,7,24.2352941176471,141.580756013746,1,1,"Chloe Tryon"
"Ellyse Perry",3002,2879,82,57,25,52.6666666666667,104.272316776659,1,1,"Ellyse Perry"
"Laura Kimmince",643,444,57,38,19,16.9210526315789,144.81981981982,1,1,"Laura Kimmince"
"Meg Lanning",2475,2028,65,54,11,45.8333333333333,122.041420118343,1,1,"Meg Lanning"
"Sophie Devine",2634,2044,78,64,14,41.15625,128.864970645793,1,1,"Sophie Devine"
"Amanda-Jade Wellington",482,358,49,40,9,12.05,134.63687150838,2,999,"Amanda-Jade Wellington"
"Georgia Wareham",305,244,26,12,14,25.4166666666667,125,2,999,"Georgia Wareham"
"Grace Harris",1359,1067,71,63,8,21.5714285714286,127.366447985005,2,999,"Grace Harris"
"Harmanpreet Kaur",713,610,32,20,12,35.65,116.885245901639,2,999,"Harmanpreet Kaur"
"Lizelle Lee",1361,1090,51,49,2,27.7755102040816,124.862385321101,2,999,"Lizelle Lee"
"Smriti Mandhana",407,314,23,21,2,19.3809523809524,129.617834394904,2,999,"Smriti Mandhana"
"Ashleigh Gardner",1679,1376,80,74,6,22.6891891891892,122.020348837209,3,999,"Ashleigh Gardner"
"Erin Fazackerley",489,386,35,33,2,14.8181818181818,126.683937823834,3,999,"Erin Fazackerley"
"Alex Blackwell",1752,1651,71,51,20,34.3529411764706,106.117504542701,3,999,"Alex Blackwell"
"Rachel Priest",1764,1514,81,77,4,22.9090909090909,116.512549537649,3,999,"Rachel Priest"
"Sarah Taylor",393,341,14,12,2,32.75,115.24926686217,3,999,"Sarah Taylor"
"Rene Farrell",282,237,31,15,16,18.8,118.987341772152,4,999,"Rene Farrell"
"Sammy-Jo Johnson",525,435,51,44,7,11.9318181818182,120.689655172414,4,999,"Sammy-Jo Johnson"
"Jess Duffin",1293,1134,49,40,9,32.325,114.021164021164,4,999,"Jess Duffin"
"Nat Sciver",1204,1051,64,46,18,26.1739130434783,114.557564224548,4,999,"Nat Sciver"
"Carly Leeson",106,90,14,12,2,8.83333333333333,117.777777777778,5,999,"Carly Leeson"
