"","Bowling","Innings","Balls","Wickets","Runs","Average","Economy","StrikeRate"
"1","Ben Laughlin",90,1896,110,2560,23.2727272727273,8.10126582278481,17.2363636363636
"2","Sean Abbott",76,1486,99,2100,21.2121212121212,8.47913862718708,15.010101010101
"3","Kane Richardson",78,1721,98,2245,22.9081632653061,7.82684485764091,17.5612244897959
"4","Adam Zampa",72,1567,87,1856,21.3333333333333,7.10657306955967,18.0114942528736
"5","Andrew Tye",62,1330,84,1691,20.1309523809524,7.62857142857143,15.8333333333333
"6","James Faulkner",70,1339,80,1734,21.675,7.76997759522031,16.7375
"7","Cameron Boyce",75,1576,79,2011,25.4556962025316,7.65609137055838,19.9493670886076
"8","Daniel Christian",89,1540,79,2133,27,8.31038961038961,19.493670886076
"9","Ben Dwarshuis",63,1336,72,1773,24.625,7.9625748502994,18.5555555555556
"10","Rashid Khan",50,1166,72,1257,17.4583333333333,6.46826758147513,16.1944444444444
"11","Fawad Ahmed",73,1605,71,1862,26.2253521126761,6.9607476635514,22.6056338028169
"12","Ben Cutting",84,1407,66,2037,30.8636363636364,8.6865671641791,21.3181818181818
"13","Michael Neser",63,1256,65,1746,26.8615384615385,8.34076433121019,19.3230769230769
"14","Nathan Coulter-Nile",54,1134,65,1411,21.7076923076923,7.46560846560847,17.4461538461538
"15","Scott Boland",52,1141,65,1590,24.4615384615385,8.36108676599474,17.5538461538462
"16","Jason Behrendorff",53,1166,63,1330,21.1111111111111,6.84391080617496,18.5079365079365
"17","Daniel Sams",44,864,62,1184,19.0967741935484,8.22222222222222,13.9354838709677
"18","Steve O'Keefe",65,1343,62,1510,24.3548387096774,6.74609084139985,21.6612903225806
"19","Brad Hogg",59,1326,61,1466,24.0327868852459,6.63348416289593,21.7377049180328
"20","Jhye Richardson",47,1017,61,1265,20.7377049180328,7.46312684365782,16.672131147541
"21","Mark Steketee",47,990,60,1442,24.0333333333333,8.73939393939394,16.5
"22","Josh Lalor",54,1120,59,1535,26.0169491525424,8.22321428571428,18.9830508474576
"23","Jackson Bird",61,1281,54,1586,29.3703703703704,7.42857142857143,23.7222222222222
"24","Peter Siddle",47,960,54,1142,21.1481481481481,7.1375,17.7777777777778
"25","John Hastings",38,809,50,1062,21.24,7.87639060568603,16.18
"26","Dwayne Bravo",45,959,49,1292,26.3673469387755,8.08342022940563,19.5714285714286
"27","Billy Stanlake",49,998,46,1345,29.2391304347826,8.08617234468938,21.695652173913
"28","Clint McKay",40,825,46,1127,24.5,8.19636363636364,17.9347826086957
"29","Shaun Tait",34,740,46,1068,23.2173913043478,8.65945945945946,16.0869565217391
"30","Chris Green",57,1038,45,1275,28.3333333333333,7.36994219653179,23.0666666666667
"31","Gurinder Sandhu",50,957,43,1302,30.2790697674419,8.16300940438872,22.2558139534884
"32","Johan Botha",68,1315,42,1572,37.4285714285714,7.17262357414449,31.3095238095238
"33","Tom Curran",27,594,42,824,19.6190476190476,8.32323232323232,14.1428571428571
"34","Chris Tremain",49,1015,41,1377,33.5853658536585,8.13990147783251,24.7560975609756
"35","Michael Beer",56,1203,41,1345,32.8048780487805,6.70822942643392,29.3414634146341
"36","Nathan Lyon",32,694,41,807,19.6829268292683,6.97694524495677,16.9268292682927
"37","Nathan Rimmington",43,822,41,1102,26.8780487804878,8.04379562043796,20.0487804878049
"38","Ben Hilfenhaus",34,723,40,963,24.075,7.99170124481328,18.075
"39","Mitchell Swepson",41,866,39,1104,28.3076923076923,7.64896073903002,22.2051282051282
"40","Riley Meredith",31,684,39,899,23.0512820512821,7.8859649122807,17.5384615384615
"41","Jack Wildermuth",47,913,38,1247,32.8157894736842,8.19496166484118,24.0263157894737
"42","Wes Agar",28,587,36,852,23.6666666666667,8.70868824531516,16.3055555555556
"43","Brett Lee",36,842,35,993,28.3714285714286,7.07600950118765,24.0571428571429
"44","Daniel Worrall",41,832,35,1112,31.7714285714286,8.01923076923077,23.7714285714286
"45","Doug Bollinger",44,910,35,1267,36.2,8.35384615384615,26
"46","Marcus Stoinis",37,522,35,739,21.1142857142857,8.49425287356322,14.9142857142857
"47","Jofra Archer",27,615,34,792,23.2941176470588,7.72682926829268,18.0882352941176
"48","Ashton Agar",45,858,33,1057,32.030303030303,7.39160839160839,26
"49","Glenn Maxwell",63,827,33,1042,31.5757575757576,7.55985489721886,25.0606060606061
"50","James Pattinson",25,535,32,751,23.46875,8.42242990654206,16.71875
"51","Sandeep Lamichhane",26,562,30,678,22.6,7.23843416370107,18.7333333333333
"52","Xavier Doherty",33,702,30,897,29.9,7.66666666666667,23.4
"53","Chris Jordan",25,489,29,725,25,8.89570552147239,16.8620689655172
"54","Dirk Nannes",26,571,29,689,23.7586206896552,7.2399299474606,19.6896551724138
"55","Mujeeb Ur Rahman",26,602,29,616,21.2413793103448,6.13953488372093,20.7586206896552
"56","Clive Rose",56,947,28,1304,46.5714285714286,8.26187961985216,33.8214285714286
"57","Cameron Gannon",21,420,27,628,23.2592592592593,8.97142857142857,15.5555555555556
"58","D'Arcy Short",46,620,27,892,33.037037037037,8.63225806451613,22.962962962963
"59","Matthew Kelly",21,446,27,608,22.5185185185185,8.17937219730942,16.5185185185185
"60","Yasir Arafat",16,369,27,469,17.3703703703704,7.6260162601626,13.6666666666667
"61","David Willey",26,510,26,631,24.2692307692308,7.42352941176471,19.6153846153846
"62","Josh Hazlewood",19,426,26,536,20.6153846153846,7.54929577464789,16.3846153846154
"63","Carlos Brathwaite",18,340,25,416,16.64,7.34117647058824,13.6
"64","Mohammad Nabi",33,545,25,684,27.36,7.5302752293578,21.8
"65","Nathan Ellis",26,555,25,733,29.32,7.92432432432432,22.2
"66","Brendan Doggett",24,441,24,630,26.25,8.57142857142857,18.375
"67","James Hopes",30,601,24,713,29.7083333333333,7.11813643926789,25.0416666666667
"68","Jonathan Cook",24,474,24,600,25,7.59493670886076,19.75
"69","Alister McDermott",18,369,23,513,22.304347826087,8.34146341463414,16.0434782608696
"70","Andre Russell",19,405,23,538,23.3913043478261,7.97037037037037,17.6086956521739
"71","Aaron O'Brien",24,510,22,604,27.4545454545455,7.10588235294118,23.1818181818182
"72","Arjun Nair",29,456,22,583,26.5,7.67105263157895,20.7272727272727
"73","Chris Morris",15,319,22,426,19.3636363636364,8.01253918495298,14.5
"74","Alfonso Thomas",23,484,21,574,27.3333333333333,7.11570247933884,23.047619047619
"75","Haris Rauf",13,263,21,335,15.952380952381,7.6425855513308,12.5238095238095
"76","Tim Bresnan",14,302,21,427,20.3333333333333,8.48344370860927,14.3809523809524
"77","Mitchell Johnson",19,444,20,455,22.75,6.14864864864865,22.2
"78","Mitchell Marsh",41,543,20,815,40.75,9.00552486187845,27.15
"79","Mitchell Starc",10,225,20,297,14.85,7.92,11.25
"80","Muttiah Muralitharan",16,366,19,348,18.3157894736842,5.70491803278689,19.2631578947368
"81","Nathan McAndrew",24,388,19,571,30.0526315789474,8.8298969072165,20.4210526315789
"82","Qais Ahmad",17,372,19,496,26.1052631578947,8,19.5789473684211
"83","Shane Watson",23,402,19,545,28.6842105263158,8.13432835820896,21.1578947368421
"84","Evan Gulbis",33,452,18,625,34.7222222222222,8.29646017699115,25.1111111111111
"85","Lasith Malinga",13,300,18,270,15,5.4,16.6666666666667
"86","Moises Henriques",37,518,18,709,39.3888888888889,8.21235521235521,28.7777777777778
"87","Tanveer Sangha",11,219,18,287,15.9444444444444,7.86301369863014,12.1666666666667
"88","Pat Cummins",16,352,17,511,30.0588235294118,8.71022727272727,20.7058823529412
"89","Travis Head",27,294,17,401,23.5882352941176,8.18367346938776,17.2941176470588
